,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Ladner,50,/,52,13,/,13,24
Pie Burritos,48,/,52,12,/,13,24
BlueStar,47,/,52,13,/,13,21
HonorNite,44,/,52,13,/,13,18
Sorio,37,/,52,11,/,13,15
MegaMan36,33,/,52,11,/,13,11
SoulXCross,28,/,52,8,/,13,12
Nonstopmop,27,/,52,9,/,13,9
des,26,/,52,8,/,13,10
ThunderGeese,23,/,52,8,/,13,7
Dorman_777,22,/,52,10,/,13,2
Virillion,20,/,52,8,/,13,4
Shuusai,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
