,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,BlueStar #1988,BlueStar,Gregar,BlueStar,,
2,NONSTOPMOP#1668,Nonstopmop,Falzar,Nonstopmop,,
3,HonorNite#3819,HonorNite,Falzar,HonorNite,,PLAYER SCHEDULES
4,Dorman_777#2452,Dorman_777,Gregar,Dorman_777,,Link
5,ThunderGeese#5666,ThunderGeese,Gregar,ThunderGeese,,
6,Desmond#1161,des,Falzar,des,,START DATE
7,Sorio Phoenix#5776,Sorio,Falzar,Sorio,,Mon Jun 21 2021 09:00:00 GMT+0200 (Central European Summer Time)
8,Ladner#4017,Ladner,Gregar,Ladner,,
9,MegaMan36#5420,MegaMan36,Gregar,MegaMan36,,END DATE
10,Virillion#1045,Virillion,Gregar,Virillion,,Mon Jul 12 2021 09:00:00 GMT+0200 (Central European Summer Time)
11,Pie Burritos#6623,Pie Burritos,Gregar,Pie Burritos,,
12,Shuusai#6739,Shuusai,Falzar,Shuusai,,AND REMEMBER:
13,SoulXCross#5658,SoulXCross,Gregar,SoulXCross,,CellImage
14,Joey☆Kobalt#1618,Joey☆Kobalt,Gregar,Joey☆Kobalt,,
15,Snugs#0744,Snugs,Gregar,Snugs,,
16,Uvu ♤#4590,Uvu,Falzar,Uvu,,
17,Cutitie#1303,Fátima,Falzar,Fátima,,
18,Neryth#3411,Neryth,Gregar,Neryth,,
19,Thiago#6352,Thiago,Gregar,Thiago,,
20,DemonKingBean#4323,DemonKingBean,Falzar,DemonKingBean,,
21,Rocku#1556,Rocku,Falzar,Rocku,,
22,Salad#7884,Salad,Falzar,Salad,,
23,Symes#3239,Symes,Gregar,Symes,,
24,Loner#1687,Loner,Falzar,Loner,,
25,MapleButter#6565,Maple,Falzar,Maple,,
26,trylo#6612,Shadow,Falzar,Shadow,,
27,WeenieWhistle#0001,WeenieWhistle,Gregar,WeenieWhistle,,
28,Eternal Flamez,E Flamez,Falzar,E Flamez,,
29,Zeii#8739,Zeii - Airspin Adept,Gregar,Zeii - Airspin Adept,,
30,Wazi | The Moogle Cartel#1156,Wazi,Gregar,Wazi,,
31,Romaniacal#6151,Romaniacal,Falzar,Romaniacal,,
32,Serale#2325,Serale,Gregar,Serale,,
33,Godon#2948,Godon,Gregar,Godon,,
34,IMASUKA#6712,IMASUKA,Gregar,IMASUKA,,
35,aqua#7944,aqua,Falzar,aqua,,
36,pppablo#6818,pablo,Gregar,pablo,,
36,Miridia#4418,Miridia,Gregar,Miridia,,
37,enduring ray#1144,Enduring Ray,Gregar,Enduring Ray,,
38,Alrysc#7506,Alrysc,Gregar,Alrysc,,
