,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Shadow,50,/,44,13,/,13,24
luckytyphlosion,48,/,52,12,/,13,24
Neryth,47,/,44,13,/,13,21
BitMuffin,44,/,44,13,/,13,18
Symes,37,/,44,11,/,13,15
playerzero,33,/,44,11,/,13,11
,28,/,44,8,/,13,12
enduring ray,27,/,44,9,/,13,9
SoulXCross,26,/,44,8,/,13,10
StarEnforcer,23,/,44,8,/,13,7
Thiago,22,/,44,10,/,13,2
Salad,20,/,44,8,/,13,4
#REF!,17,/,44,7,/,13,3
,11,/,44,5,/,13,1
