,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,Neryth#3411,Neryth,Falzar,Neryth,,
2,enduring ray #1144,enduring ray,Falzar,enduring ray,,PLAYER SCHEDULES
3,Ayo#1260,BitMuffin,Falzar,BitMuffin,,Link
4,Thiago#6352,Thiago,Falzar,Thiago,,
5,Disc-OH!#1474,StarEnforcer,Falzar,StarEnforcer,,START DATE
6,SoulXCross#5658,SoulXCross,Gregar,SoulXCross,,Mon Sep 21 2020 09:00:00 GMT+0200 (Central European Summer Time)
7,Symes#9999,Symes,Gregar,Symes,,
8,Trylo#1662,Shadow,Falzar,Shadow,,END DATE
9,playerzero#2208,playerzero,Falzar,playerzero,,Mon Oct 05 2020 09:00:00 GMT+0200 (Central European Summer Time)
10,luckytyphlosion#1166,luckytyphlosion,Gregar,luckytyphlosion,,
11,Salad#7884,Salad,Falzar,Salad,,AND REMEMBER:
,,,,,,CellImage
