,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
pppablo,50,/,44,13,/,13,24
oOSpiderManOo,48,/,52,12,/,13,24
Ryu D,47,/,44,13,/,13,21
Barney,44,/,44,13,/,13,18
#REF!,37,/,44,11,/,13,15
playerzero,33,/,44,11,/,13,11
,28,/,44,8,/,13,12
Uvu,27,/,44,9,/,13,9
enduring ray,26,/,44,8,/,13,10
desmond (...),23,/,44,8,/,13,7
Symes,22,/,44,10,/,13,2
Salad,20,/,44,8,/,13,4
#REF!,17,/,44,7,/,13,3
,11,/,44,5,/,13,1
