,,,,,
,,,,,
90: 2019 CYCLE #10 - SoulXCross,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,ColForce,Q,,BugStop,image
1,ElmntMan,*,,Custom2,
1,JudgeMan,*,,AirShoes,
1,EraseMan,*,,UnderSht,
1,BusterUp,*,[REG],SuprArmr,
1,Uninstll,L,,HP+400,
1,LifeAur,U,,Attack+1,
1,GrabRvng,Q,,Attack+1,
2,WindRack,*,,Attack+1,
2,ElecDrgn,L,,Speed+1,
2,Recov300,J,,ChargMAX,
3,BblStar2,L,,CellImage,
3,ElcPuls1,L,,,
3,Magnum,L,,,
3,AntiDmg,*,,,
4,AreaGrab,*,[TAG][TAG],,
