,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Kamizo Origami,50,/,48,13,/,13,24
Darkgaia,48,/,52,12,/,13,24
#REF!,47,/,48,13,/,13,21
Passbyword,44,/,48,13,/,13,18
Soup,37,/,48,11,/,13,15
playerzero,33,/,48,11,/,13,11
,28,/,48,8,/,13,12
a4average,27,/,48,9,/,13,9
Alpha,26,/,48,8,/,13,10
osiahene,23,/,48,8,/,13,7
ChinaTV,22,/,48,10,/,13,2
LordEgil,20,/,48,8,/,13,4
Rockin,17,/,48,7,/,13,3
#REF!,11,/,48,5,/,13,1
