,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Rocku,50,/,52,13,/,13,24
Maple,48,/,52,12,/,13,24
M-Den,47,/,52,13,/,13,21
Symes,44,/,52,13,/,13,18
Zeii,37,/,52,11,/,13,15
playerzero,33,/,52,11,/,13,11
HonorNite,28,/,52,8,/,13,12
LuigiMan.EXE,27,/,52,9,/,13,9
Enduring Ray,26,/,52,8,/,13,10
Nonstopmop,23,/,52,8,/,13,7
Dorman,22,/,52,10,/,13,2
Josue,20,/,52,8,/,13,4
Salad,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
