,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,M-Den#1296,M-Den,Gregar,M-Den,,
2,LML123#4753,LuigiMan.EXE,Gregar,LuigiMan.EXE,,PLAYER SCHEDULES
3,Symes#9999,Symes,Gregar,Symes,,Link
4,Dorman_777#2452,Dorman,Falzar,Dorman,,
5,NONSTOPMOP#1668,Nonstopmop,Gregar,Nonstopmop,,START DATE
6,enduring ray#1144,Enduring Ray,Gregar,Enduring Ray,,Mon Apr 25 2022 09:00:00 GMT+0200 (Central European Summer Time)
7,Zeii#8739,Zeii,Gregar,Zeii,,
8,Rocku#1556,Rocku,Falzar,Rocku,,END DATE
9,playerzero#2208,playerzero,Falzar,playerzero,,Mon May 09 2022 09:00:00 GMT+0200 (Central European Summer Time)
10,jojosue#9988,Josue,Falzar,Josue,,
11,MapleButter#6565,Maple,Gregar,Maple,,AND REMEMBER:
12,Salad#7884,Salad,Falzar,Salad,,CellImage
13,HonorNite#3819,HonorNite,Falzar,HonorNite,,
14,MasteRioniX.S1X#7335,Master S1X,Gregar,Master S1X,,
15,Thiago#6352,Thiago,Falzar,Thiago,,
16,Apples#0034,Apples,Gregar,Apples,,
17,Neryth#3411,Neryth,Falzar,Neryth,,
18,Yorudan#8559,Django,Gregar,Django,,
19,Desmond#1161,des,Falzar,des,,
20,trylo#6612,Shadow,Falzar,Shadow,,
21,Dass#5058,!sadder,Falzar,!sadder,,
22,trail#7425,trail,Gregar,trail,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
