Zeii,,,,,
Zeii#8739,,,,Gregar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,FireBrn3,E,[TAG],SuprArmr,https://media.discordapp.net/attachments/157693621360001024/967957874028453928/unknown.png?width=457&height=499
1,BblStar1,E,[REG],Custom1,AttckMAX
3,ElcPuls2,E,,FstBarr,ChargMAX
2,MachGun2,E,,UnderSht,HP+400
1,CornSht2,E,[TAG],BugStop,HP+400
3,ElecSwrd,E,,CellImage,
3,WindRack,*,,,
2,Recov300,O,,,
5,AreaGrab,*,,,
1,Barr200,U,,,
1,LifeAur,U,,,
1,Atk+30,*,,,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
1,ElmntMnEX,E,,,
1,ElmntMnSP,E,,,
1,ColForce,Q,,,
