Symes,,,,,
Symes#5461,,,,Falzar,
FOLDER 1,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
2,BblStar3,G,,GigFldr1,Link to URL
1,Static,G,[TAG],Custom1,
1,Windrack,*,,HP+400,
1,Muramasa,M,,HP+500,
1,HeatDrgn,G,,FstBarr,
2,Recov300,J,,ChargeMAX,
2,AreaGrab,*,[TAG],Rush,
1,Geddon,*,,SuprArmr,
1,SloGauge,*,,,
1,FullCust,*,[REG],,
1,BugFix,*,,,
3,Invisibl,*,,,
1,Barr200,U,,,
1,LifeAur,U,,,
3,AntiDmg,*,,,
1,Uninstall,G,,CellImage,
1,GrndManSP,G,,,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,JudgeMnSP,J,,,
1,ElmntMan,*,,,
1,HubBatc,J,,,
1,BgDthThd,V,,,
