,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,Symes#5461,Symes,Falzar,Symes,,
2,trylo#6612,Shadow,Falzar,Shadow,,PLAYER SCHEDULES
3,HonorNite#3819,HonorNite,Falzar,HonorNite,,Link
4,Jo☆Kobalt#1618,Joey☆Kobalt,Falzar,Joey☆Kobalt,,
5,Uvu ♤#4590,Uvu,Gregar,Uvu,,START DATE
6,enduring ray#1144,Ray,Gregar,Ray,,Mon Jul 20 2020 09:00:00 GMT+0200 (Central European Summer Time)
7,Neryth#3411,Neryth,Gregar,Neryth,,
8,playerzero#2208,playerzero,Falzar,playerzero,,END DATE
9,luckytyphlosion#1166,luckytyphlosion,Falzar,luckytyphlosion,,Mon Aug 03 2020 09:00:00 GMT+0200 (Central European Summer Time)
10,Versel.EXE#7292,Versel.EXE,Falzar,Versel.EXE,,
11,Salad#7884,Salad,Falzar,Salad,,AND REMEMBER:
12,WKS | Eeveecario#9230,Eeveecario,Falzar,Eeveecario,,CellImage
13,Eurasia_M#9782,Eurasia_M,Gregar,Eurasia_M,,
14,Thiago#6352,Thiago,Gregar,Thiago,,
