,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
playerzero,50,/,52,13,/,13,24
Salad,48,/,52,12,/,13,24
Symes,47,/,52,13,/,13,21
HonorNite,44,/,52,13,/,13,18
Neryth,37,/,52,11,/,13,15
luckytyphlosion,33,/,52,11,/,13,11
Thiago,28,/,52,8,/,13,12
Shadow,27,/,52,9,/,13,9
Ray,26,/,52,8,/,13,10
Uvu,23,/,52,8,/,13,7
Joey☆Kobalt,22,/,52,10,/,13,2
Versel.EXE,20,/,52,8,/,13,4
Eeveecario,17,/,52,7,/,13,3
Eurasia_M,11,/,52,5,/,13,1
