,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
SoulXCross,50,/,52,13,/,13,24
Korota,48,/,52,12,/,13,24
HonorNite,47,/,52,13,/,13,21
Master,44,/,52,13,/,13,18
Wazi,37,/,52,11,/,13,15
playerzero,33,/,52,11,/,13,11
M-Den,28,/,52,8,/,13,12
Desmond,27,/,52,9,/,13,9
BlueStar,26,/,52,8,/,13,10
DrugsAreBad,23,/,52,8,/,13,7
Neryth,22,/,52,10,/,13,2
Netbattler S,20,/,52,8,/,13,4
Alrysc,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
