,a4average,Alpha,Darkmega07,Nahmoh,osiahene,Whoop Whoop,Soup,ShironaNep,DemonCorsair,david,ChinaTV,Passbyword,ShinyTseul,Cupcake,Uvu,enduringray,Eurasia_M,GDarks,Soren,WIMDY,SoniSwitch,H4zelWhite,Maplelink64,Zerobillion,WeenieWhistle,Nonstopmop,Master S1X,Josue,BitMuffin,Salad,Not3rdPerson,playerzero,Neryth,Null,Rockin,Beef,Rocku,Shadow,Makuto,Symes,KayThree,Thiago,Mr.President,ඞorman ZZ,HonorNite,mars,Alrysc,hoodies
Beef,0,,,,1,,,,0,,0,0,,,,0,,,,,,,,1,,0,,,,0,0,0,0,,,,0,1,2,0,,0,1,,0,,1,
Rocku,0,2,,,2,2,,0,1,2,0,0,2,2,1,2,2,2,0,,2,2,2,1,2,1,0,1,1,0,1,0,0,2,2,2,,2,2,1,2,0,2,2,1,2,2,1
Shadow,2,2,,,0,,,0,0,0,0,0,,,0,1,,,2,,0,,2,2,1,,2,,1,1,0,0,0,,,2,1,,,2,,0,2,,0,2,1,
Makuto,0,1,,,1,0,,0,2,0,0,0,2,,0,1,,2,0,,,,,1,,0,0,0,0,0,0,0,1,0,1,1,0,,,2,,0,0,,0,2,2,0
Symes,2,2,,,2,2,,1,1,2,2,0,2,2,2,2,2,2,0,,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,0,1,,2,2,2,2,1,2,2,2
KayThree,0,2,,,,,,0,2,,0,0,,,,2,,,0,,,,2,,,0,,,,0,1,0,0,,,,0,,,0,,0,,,,1,2,
Thiago,1,2,,,2,0,,2,2,2,0,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,1,2,,2,2,2,2,2,2
Mr.President,1,1,,,,,,1,2,,0,0,,,,,,2,2,,,,2,,2,,,1,,0,0,0,0,,0,2,0,0,2,1,,0,,,0,0,2,0
ඞorman ZZ,0,2,,,,,,1,0,,1,1,1,,,1,,,,,0,,,,,,,,,0,0,0,0,,,,0,,,1,,0,,,0,0,0,
HonorNite,2,2,,,2,2,,1,2,2,1,1,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,0,0,,2,2,2,2,2,2,,0,2,2,,2,2,2
mars,2,2,,,2,,,2,2,2,0,1,2,,0,2,0,2,0,,0,,2,2,2,1,2,,0,2,0,0,0,,2,,0,0,1,0,2,0,2,2,0,,2,1
Alrysc,0,0,,,0,1,,1,0,2,0,0,0,2,0,2,1,2,0,,0,0,2,2,1,0,2,1,0,0,1,0,0,2,0,2,0,2,1,0,0,0,1,2,0,0,,0
hoodies,0,2,,,,,,1,2,,0,0,2,2,,,,,,,,,2,2,,,,,,0,,0,2,2,,,2,,2,1,,0,2,,0,2,2,
