,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
BlueStar,50,/,52,13,/,13,24
Custer Bannon,48,/,52,12,/,13,24
Nonstopmop,47,/,52,13,/,13,21
Thiago,44,/,52,13,/,13,18
#REF!,37,/,52,11,/,13,15
Dorman ,33,/,52,11,/,13,11
HonorNite,28,/,52,8,/,13,12
playerzero,27,/,52,9,/,13,9
Wintegral,26,/,52,8,/,13,10
Rocku,23,/,52,8,/,13,7
fireboltbro,22,/,52,10,/,13,2
des,20,/,52,8,/,13,4
#REF!,17,/,52,7,/,13,3
WeenieWhistle,11,/,52,5,/,13,1
