Custer Bannon,,,,,,,
Buster Cannon 🥊#6127,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
2,Static,G,,UnderSht,Link to URL,Numbers,17
1,BugFix,*,,Custom2,AttckMAX,SkullMan,30
1,MachGun2,G,,SuprArmr,ChargMAX,Totem,13
3,Invisibl,,,Rush,HP+500,Miney,12
1,SloGauge,*,,,HP+300,Satella,8
1,FullCust,*,[REG],,HP+50,,
2,BusterUp,*,[TAG][TAG],,Attack+1,,
2,PoisSeed,*,,,,,
1,Uninstll,G,,,,,
1,BblStar3,G,,,,,
1,GunDelEX,G,,,,,
2,GrabBnsh,B,,,,,
1,LifeAur,U,,,,,
2,AntiDmg,*,,,,,
1,DblBeast,W,,,,,
1,GrndManSP,G,,CellImage,,,
1,TenguMan,*,,,,,
1,ElmntMan,*,,,,,
1,JudgeMan,*,,,,,
1,EraseMan,*,,,,,
1,TmhkMan,*,,,,,
1,Falzar,X,,,,,
1,HubBatc,J,,,,,
