,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
TBB2,50,/,52,13,/,13,24
Marvino,48,/,52,12,/,13,24
#REF!,47,/,52,13,/,13,21
AHeroOverNight,44,/,52,13,/,13,18
Master S1X,37,/,52,11,/,13,15
Salad,33,/,52,11,/,13,11
Dorman,28,/,52,8,/,13,12
HonorNite,27,/,52,9,/,13,9
ChinaTV,26,/,52,8,/,13,10
osiahene,23,/,52,8,/,13,7
Entitas,22,/,52,10,/,13,2
ShironaNep,20,/,52,8,/,13,4
Broonster,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
