,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Coyote,50,/,52,13,/,13,24
enduring ray,48,/,52,12,/,13,24
playerzero,47,/,52,13,/,13,21
Symes,44,/,52,13,/,13,18
Joey☆Kobalt,37,/,52,11,/,13,15
Thiago,33,/,52,11,/,13,11
oOSpiderManOo,28,/,52,8,/,13,12
Zeii - Airspin Adept,27,/,52,9,/,13,9
Uvu,26,/,52,8,/,13,10
ElKiras,23,/,52,8,/,13,7
BitMuffin,22,/,52,10,/,13,2
Tchomp,20,/,52,8,/,13,4
desmond,17,/,52,7,/,13,3
pppablo,11,/,52,5,/,13,1
