Symes,,,,,
Symes#3239,,,,Gregar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,BugFix,*,,SuprArmr,image
2,WindRack,*,,Custom1,HP+400
1,ElmntMan,*,,UnderSht,HP+400
1,EraseMan,*,[TAG],,HP+400
1,AntiNavi,*,,,AttckMAX
1,GrabRvng,Q,,,ChargMAX
2,HolyPanl,*,,,
1,Snctuary,Z,,,
2,SloGauge,*,[REG],,
1,FlshBom1,*,,,
3,Invisibl,*,,,
1,LifeAur,U,,CellImage,
3,AntiDmg,*,,,
4,AreaGrab,*,[TAG],,
1,TenguMan,*,,,
2,Recov300,O,,,
1,ElmntMnSP,E,,,
1,JudgeMan,*,,,
1,ColForce,Q,,,
