,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Fátima,50,/,52,13,/,13,24
M-Den,48,/,52,12,/,13,24
Chocola,47,/,52,13,/,13,21
Ablen,44,/,52,13,/,13,18
ByrneBaby,37,/,52,11,/,13,15
Thiago,33,/,52,11,/,13,11
Kuriboh,28,/,52,8,/,13,12
Nonstopmop,27,/,52,9,/,13,9
WeenieWhistle,26,/,52,8,/,13,10
ShironaNep,23,/,52,8,/,13,7
Pie Burritos,22,/,52,10,/,13,2
momobeta,20,/,52,8,/,13,4
BlueStar,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
