ByrneBaby,,,,,,,,,
ByrneBaby#8008,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
3,GunDelS3,N,,Custom1,that gregar cust,,AreaGrab,*,
3,IceSeed,*,,AirShoes,AttckMAX,,HolyPanl,*,
3,ElecSwrd,N,,UnderSht,ChargMAX,,HeatDrgn,G,
3,MoonBld,M,,BugStop,HP+500,,WoodDrgn,G,
,Muramasa,M,,SuprArmr,,,Uninstll,G,
4,AreaGrab,*,[TAG][TAG],Rush,,,ElmntMan,*,[REG]
2,GrabBnsh,M,,,,,,,
,Geddon,*,[REG],,,,,,
,Barr200,U,,CellImage,,,,,
,LifeAur,U,,,,,,,
3,AntiDmg,*,,,,,,,
,AntiRecv,*,,,,,,,
,ProtoMan,*,,,,,,,
,SlashMan,*,,,,,,,
,Colonel,*,,,,,,,
,BugRSwrd,V,,,,,,,
