Pie Burritos,,,,,,,,,
Pie Burritos#6623,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,BugFix,*,,SuprArmr,HP+400,2,SloGauge,*,
1,LifeAur,U,,Rush,HP+400,2,FstGauge,*,
1,Snctuary,Z,,FstBarr,HP+400,1,FullCust,*,[REG]
1,GrabRvng,Z,,,HP+300,,,,
1,Uninstll,G,,,ChargMAX,,,,
1,Static,G,[REG],,,1,BlastMan,*,
2,WoodDrgn,G,,,,,,,
2,BblStar3,G,,,,,,,
2,MachGun2,G,,,,,,,
1,ElcPuls1,J,,,,,,,
2,ElcPuls2,J,,,,,,,
1,ElcPuls3,J,,,,,,,
1,JustcOne,J,,,,,,,
2,Recov300,J,,,,,,,
2,WindRack,*,,,,,,,
2,AreaGrab,*,,CellImage,,,,,
1,BblWrap,Z,,,,,,,
1,ElmntMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMnSP,J,,,,,,,
1,GrndManSP,G,,,,,,,
1,HubBatc,J,,,,,,,
