,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
Salad,50,/,52,13,/,13,24
Diamond Kite,48,/,52,12,/,13,24
Master S1X,47,/,52,13,/,13,21
ShironaNep,44,/,52,13,/,13,18
Rocku,37,/,52,11,/,13,15
Neryth,33,/,52,11,/,13,11
WeenieWhistle,28,/,52,8,/,13,12
Thiago,27,/,52,9,/,13,9
Josue,26,/,52,8,/,13,10
BlueStar,23,/,52,8,/,13,7
HonorNite,22,/,52,10,/,13,2
Symes,20,/,52,8,/,13,4
playerzero,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
