,,,,,
,,,,,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,HubBatc,J,,SuprArmr,https://cdn.discordapp.com/attachments/879278223744184391/881846111852171294/BN6_Falzar_Bugged.png
1,ElmntMan,*,,AntiDmg,HP+500
1,JudgeMan,*,,FlotShoe,HP+300
1,BlastMan,*,,Custom1,HP+300
1,EraseMan,*,,Rush,
1,GrndMan,*,,,
1,Uninstll,G,,,
2,AntiDmg,*,,,
1,LifeAur,U,,,
3,Invisibl,*,,,
1,BugFix,*,,,
1,FullCust,*,[REG],,
1,SloGauge,*,,,
1,Snctuary,Z,,,
1,GrabRvng,Z,[TAG],CellImage,
4,AreaGrab,*,[TAG],,
2,Recov300,J,,,
1,WindRack,*,,,
2,MachGun1,*,,,
1,ElcPuls3,J,,,
1,ElcPuls2,J,,,
1,ElcPuls1,J,,,
