,,,,,
,,,,,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
2,BblStar3,G,,GigFldr1,image
1,Static,G,[TAG],Custom1,HP+400
1,WindRack,*,,SuprArmr,HP+500
1,Muramasa,M,,FstBarr,ChargMAX
1,HeatDrgn,G,,Rush,HP+50
2,Recov300,J,,,
2,AreaGrab,*,[TAG],,
1,Geddon,*,,,
1,SloGauge,*,,,
1,FullCust,*,[REG],,
1,BugFix,*,,,
3,Invisibl,*,,,
1,Barr200,U,,,
1,LifeAur,U,,,
3,AntiDmg,*,,,
1,Uninstll,G,,CellImage,
1,GrndManSP,G,,,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,JudgeMnSP,J,,,
1,ElecMan,*,,,
1,HubBatc,J,,,
1,BgDthThd,V,,,
