,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,Sheriel Phoenix#5776,Sheriel,Falzar,Sheriel,,
2,MasteRioniX.S1X#7335,Master S1X,Falzar,Master S1X,,PLAYER SCHEDULES
3,Mauldren#4496,Mauldren,Falzar,Mauldren,,Link
4,playerzero#2208,playerzero,Falzar,playerzero,,
5,weenie#1984,weenie no whistle,Falzar,weenie no whistle,,START DATE
6,DR.TBB2#3787,LowTierGar,Gregar,LowTierGar,,Mon Jul 11 2022 09:00:00 GMT+0200 (Central European Summer Time)
7,Dorman_777#2452,Dorman,Falzar,Dorman,,
8,GT 210#1981,GT 210,Gregar,GT 210,,END DATE
9,Salad#7884,Salad,Falzar,Salad,,Mon Jul 25 2022 09:00:00 GMT+0200 (Central European Summer Time)
10,NONSTOPMOP#1668,Nonstopmop,Gregar,Nonstopmop,,
11,2Elusive#3584,2Elusive,Gregar,2Elusive,,AND REMEMBER:
12,Yaw#9721,osiahene,Gregar,osiahene,,CellImage
13,jojosue#9988,Josue,Falzar,Josue,,
14,Broonster#1544,Broonster,Gregar,Broonster,,
15,逆逆#0105,逆逆,Falzar,逆逆,,
16,mars#9327,crewmars,Gregar,crewmars,,
17,Sest0E1emento5#7054,Sesto,Falzar,Sesto,,
18,Buster Cannon 🥊#6127,Buster Cannon,Falzar,Buster Cannon,,
19,HonorNite#3819,HonorNite,Gregar,HonorNite,,
20,nugget#4202,Diamond Kite,Gregar,Diamond Kite,,
21,Symes#9999,Symes,Falzar,Symes,,
22,Nero.#5805,Nero,Falzar,Nero,,
23,sashimi#1157,fish,Falzar,fish,,
24,Moneditasf#2573,Moneditasf,Falzar,Moneditasf,,
25,Neryth#3411,Neryth,Falzar,Neryth,,
26,Tengu#8948,TenguPNW,Falzar,TenguPNW,,
27,Zeii#8739,Zeii,Gregar,Zeii,,
28,Netmonmatt#7351,Netmonmatt,Falzar,Netmonmatt,,
29,WeenieWhistle#2551,WeenieWhistle,Falzar,WeenieWhistle,,
30,Thiago#6352,Thiago,Falzar,Thiago,,
31,K3#6963,KayThree,Falzar,KayThree,,
