Dorman,,,,,
Dorman_777#2452,,,,Falzar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,SpoutMnSP,A,,BugStop,https://media.discordapp.net/attachments/807394334667571315/995807719535689839/unknown.png
1,Muramasa,M,,UnderSht,HP+500
2,Recov300,O,,Custom1,ChargMAX
1,NeoVari,N,,Custom1,Attack+1
1,GrndManSP,G,,SuprArmr,
3,AntiDmg,*,,SlipRunr,
1,LifeAur,U,,Rush,
2,BblStar3,S,,Rush,
3,Invisibl,*,,,
2,AquaDrgn,S,,,
1,Barr200,U,,,
2,BambSwrd,S,,CellImage,
1,EraseMan,*,,,
1,CrossDiv,D,,,
2,GrabBnsh,S,,,
3,AreaGrab,*,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
1,AntiSwrd,*,,,
