,Points won,,out of max possible,Sets Played,,Sets Scheduled,Rounds Won
GT 210,50,/,52,13,/,13,24
2Elusive,48,/,52,12,/,13,24
Sheriel,47,/,52,13,/,13,21
Mauldren,44,/,52,13,/,13,18
Dorman,37,/,52,11,/,13,15
Salad,33,/,52,11,/,13,11
Josue,28,/,52,8,/,13,12
Master S1X,27,/,52,9,/,13,9
LowTierGar,26,/,52,8,/,13,10
weenie no whistle,23,/,52,8,/,13,7
playerzero,22,/,52,10,/,13,2
Nonstopmop,20,/,52,8,/,13,4
osiahene,17,/,52,7,/,13,3
#REF!,11,/,52,5,/,13,1
